name,wiki_title,object_type,mood,tags,fallback_image_url,description,wiki_url,thumbnail_url,image_path,image_url_used,error,has_image,wiki_title_ru,name_en,description_en,wiki_url_en,name_ru,description_ru,wiki_url_ru,object_type_en,object_type_ru
Andromeda Galaxy,Andromeda Galaxy,galaxy,"majestic, calm, magnetic","galaxy,spiral,bright,elegant,iconic",,"The Andromeda Galaxy is a barred spiral galaxy and is the nearest major galaxy to the Milky Way. It was originally named the Andromeda Nebula and is cataloged as Messier 31, M31, and NGC 224. Andromeda has a D25 isophotal diameter of about 46.56 kiloparsecs (152,000 light-years) and is approximately 765 kpc (2.5 million light-years) from Earth. The galaxy's name stems from the area of Earth's sky in which it appears, the constellation of Andromeda, which itself is named after the princess who was the wife of Perseus in Greek mythology.",https://en.wikipedia.org/wiki/Andromeda_Galaxy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Andromeda_Galaxy_2025.png/330px-Andromeda_Galaxy_2025.png,data/curated_space_objects/images/andromeda_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Andromeda_Galaxy_2025.png/330px-Andromeda_Galaxy_2025.png,,True,,Andromeda Galaxy,"The Andromeda Galaxy is a barred spiral galaxy and is the nearest major galaxy to the Milky Way. It was originally named the Andromeda Nebula and is cataloged as Messier 31, M31, and NGC 224. Andromeda has a D25 isophotal diameter of about 46.56 kiloparsecs (152,000 light-years) and is approximately 765 kpc (2.5 million light-years) from Earth. The galaxy's name stems from the area of Earth's sky in which it appears, the constellation of Andromeda, which itself is named after the princess who was the wife of Perseus in Greek mythology.",https://en.wikipedia.org/wiki/Andromeda_Galaxy,Галактика Андромеды,"Галактика Андромеды — спиральная галактика с перемычкой и ближайшая к Млечному Пути крупная галактика. Первоначально она называлась Туманность Андромеды и внесена в каталоги как Мессье 31, M31 и NGC 224. Андромеда имеет изофотальный диаметр D25 около 46,56 килопарсека (152 000 световых лет) и находится на расстоянии примерно 765 кпк (2,5 миллиона световых лет) от Земли. Название галактики происходит от области земного неба, в которой она появляется, созвездия Андромеды, которое само названо в честь принцессы, которая была женой Персея в греческой мифологии.",,galaxy,галактика
Milky Way,Milky Way,galaxy,"familiar, dreamy, infinite","galaxy,spiral,home,bright,dreamy",,"The Milky Way or Milky Way Galaxy is the galaxy that includes the Solar System, with the name describing the galaxy's appearance from Earth: a hazy band of light seen in the night sky formed from stars in other arms of the galaxy, which are so far away that they cannot be individually distinguished by the naked eye.",https://en.wikipedia.org/wiki/Milky_Way,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/ESO-VLT-Laser-phot-33a-07.jpg/330px-ESO-VLT-Laser-phot-33a-07.jpg,data/curated_space_objects/images/milky_way.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/ESO-VLT-Laser-phot-33a-07.jpg/330px-ESO-VLT-Laser-phot-33a-07.jpg,,True,,Milky Way,"The Milky Way or Milky Way Galaxy is the galaxy that includes the Solar System, with the name describing the galaxy's appearance from Earth: a hazy band of light seen in the night sky formed from stars in other arms of the galaxy, which are so far away that they cannot be individually distinguished by the naked eye.",https://en.wikipedia.org/wiki/Milky_Way,Млечный Путь,"Млечный Путь или Галактика Млечный Путь — это галактика, включающая Солнечную систему, название которой описывает внешний вид галактики с Земли: туманная полоса света, видимая в ночном небе, образованная из звезд в других рукавах галактики, которые находятся так далеко, что их невозможно различить невооруженным глазом.",,galaxy,галактика
Sombrero Galaxy,Sombrero Galaxy,galaxy,"stylish, mysterious, elegant","galaxy,spiral,dark,elegant,iconic",,"The Sombrero Galaxy is a peculiar galaxy of unclear classification in the constellation borders of Virgo and Corvus, being about 9.55 megaparsecs from the Milky Way galaxy. It is a member of the Virgo II Groups, a series of galaxies and galaxy clusters strung out from the southern edge of the Virgo Supercluster. It has an isophotal diameter of approximately 29.09 to 32.32 kiloparsecs, making it slightly larger than the Milky Way.",https://en.wikipedia.org/wiki/Sombrero_Galaxy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Sombrero_Galaxy_%28heic2506a%29.jpg/330px-Sombrero_Galaxy_%28heic2506a%29.jpg,data/curated_space_objects/images/sombrero_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Sombrero_Galaxy_%28heic2506a%29.jpg/330px-Sombrero_Galaxy_%28heic2506a%29.jpg,,True,,Sombrero Galaxy,"The Sombrero Galaxy is a peculiar galaxy of unclear classification in the constellation borders of Virgo and Corvus, being about 9.55 megaparsecs from the Milky Way galaxy. It is a member of the Virgo II Groups, a series of galaxies and galaxy clusters strung out from the southern edge of the Virgo Supercluster. It has an isophotal diameter of approximately 29.09 to 32.32 kiloparsecs, making it slightly larger than the Milky Way.",https://en.wikipedia.org/wiki/Sombrero_Galaxy,Сомбреро Галактика,"Галактика Сомбреро — своеобразная галактика неясной классификации в границах созвездий Девы и Ворона, находящаяся примерно в 9,55 мегапарсеках от галактики Млечный Путь. Она является членом группы Девы II, серии галактик и скоплений галактик, вытянувшихся от южного края сверхскопления Девы. Его изофотальный диаметр составляет примерно от 29,09 до 32,32 килопарсека, что делает его немного больше Млечного Пути.",,galaxy,галактика
Whirlpool Galaxy,Whirlpool Galaxy,galaxy,"dramatic, social, spiral","galaxy,spiral,interaction,dramatic,bright",,"The Whirlpool Galaxy, also known as Messier 51a (M51a) or NGC 5194, is an interacting grand-design spiral galaxy with a Seyfert 2 active galactic nucleus. It lies in the constellation Canes Venatici, and was the first galaxy to be classified as a spiral galaxy. It is 31 million light-years away and 23.58 kiloparsecs (76,900 ly) in diameter.",https://en.wikipedia.org/wiki/Whirlpool_Galaxy,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Messier51_sRGB.jpg/330px-Messier51_sRGB.jpg,data/curated_space_objects/images/whirlpool_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Messier51_sRGB.jpg/330px-Messier51_sRGB.jpg,,True,,Whirlpool Galaxy,"The Whirlpool Galaxy, also known as Messier 51a (M51a) or NGC 5194, is an interacting grand-design spiral galaxy with a Seyfert 2 active galactic nucleus. It lies in the constellation Canes Venatici, and was the first galaxy to be classified as a spiral galaxy. It is 31 million light-years away and 23.58 kiloparsecs (76,900 ly) in diameter.",https://en.wikipedia.org/wiki/Whirlpool_Galaxy,Водоворот галактики,"Галактика Водоворот, также известная как Мессье 51а (M51a) или NGC 5194, представляет собой взаимодействующую спиральную галактику грандиозного дизайна с активным галактическим ядром сейфертовской величины 2. Она находится в созвездии Гончих Псов и была первой галактикой, классифицированной как спиральная галактика. Она находится на расстоянии 31 миллиона световых лет от нас и имеет диаметр 23,58 килопарсека (76 900 световых лет).",,galaxy,галактика
Triangulum Galaxy,Triangulum Galaxy,galaxy,"soft, open, luminous","galaxy,spiral,soft,bright,calm",,"The Triangulum Galaxy is a spiral galaxy 2.878 million light-years (ly) from Earth in the constellation Triangulum. It is catalogued as Messier 33 or NGC 598. With the D25 isophotal diameter of 18.74 kiloparsecs (61,100 light-years), the Triangulum Galaxy is the third-largest member of the Local Group of galaxies, behind the Andromeda Galaxy and the Milky Way.",https://en.wikipedia.org/wiki/Triangulum_Galaxy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg/330px-VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg,data/curated_space_objects/images/triangulum_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg/330px-VST_snaps_a_very_detailed_view_of_the_Triangulum_Galaxy.jpg,,True,,Triangulum Galaxy,"The Triangulum Galaxy is a spiral galaxy 2.878 million light-years (ly) from Earth in the constellation Triangulum. It is catalogued as Messier 33 or NGC 598. With the D25 isophotal diameter of 18.74 kiloparsecs (61,100 light-years), the Triangulum Galaxy is the third-largest member of the Local Group of galaxies, behind the Andromeda Galaxy and the Milky Way.",https://en.wikipedia.org/wiki/Triangulum_Galaxy,Треугольная галактика,"Галактика Треугольника — это спиральная галактика, расположенная на расстоянии 2,878 миллиона световых лет от Земли в созвездии Треугольника. Она занесена в каталог как Мессье 33 или NGC 598. С диаметром изофоты D25 18,74 килопарсека (61 100 световых лет) Галактика Треугольника является третьим по величине членом Местной группы галактик после Галактики Андромеды и Млечного Пути.",,galaxy,галактика
Pinwheel Galaxy,Pinwheel Galaxy,galaxy,"playful, bright, structured","galaxy,spiral,bright,playful,structured",,"The Pinwheel Galaxy is a face-on, counterclockwise intermediate spiral galaxy located 21 million light-years from Earth in the constellation Ursa Major. It was discovered by Pierre Méchain in 1781 and was communicated that year to Charles Messier, who verified its position for inclusion in the Messier Catalogue as one of its final entries.",https://en.wikipedia.org/wiki/Pinwheel_Galaxy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/M101_hires_STScI-PRC2006-10a.jpg/330px-M101_hires_STScI-PRC2006-10a.jpg,data/curated_space_objects/images/pinwheel_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/M101_hires_STScI-PRC2006-10a.jpg/330px-M101_hires_STScI-PRC2006-10a.jpg,,True,,Pinwheel Galaxy,"The Pinwheel Galaxy is a face-on, counterclockwise intermediate spiral galaxy located 21 million light-years from Earth in the constellation Ursa Major. It was discovered by Pierre Méchain in 1781 and was communicated that year to Charles Messier, who verified its position for inclusion in the Messier Catalogue as one of its final entries.",https://en.wikipedia.org/wiki/Pinwheel_Galaxy,Галактика Вертушка,"Галактика Вертушка — это промежуточная спиральная галактика, обращенная лицом вниз и против часовой стрелки, расположенная на расстоянии 21 миллиона световых лет от Земли в созвездии Большой Медведицы. Он был обнаружен Пьером Мешеном в 1781 году и в том же году был передан Шарлю Мессье, который подтвердил его позицию для включения в Каталог Мессье в качестве одной из его последних записей.",,galaxy,галактика
Cigar Galaxy,Messier 82,galaxy,"restless, smoky, intense","galaxy,starburst,dramatic,intense,smoky",,"Messier 82 (also known as NGC 3034, Cigar Galaxy or M82) is a starburst galaxy approximately 12 million light-years away in the constellation Ursa Major. It is the second-largest member of the M81 Group, with the D25 isophotal diameter of 12.52 kiloparsecs (40,800 light-years). It is about five times more luminous than the Milky Way and its central region is about one hundred times more luminous. The starburst activity is thought to have been triggered by interaction with neighboring galaxy M81(NGC 3031). As one of the closest starburst galaxies to Earth, M82 is the prototypical example of this galaxy type. SN 2014J, a Type Ia supernova, was discovered in the galaxy on 21 January 2014. In 2014, in studying M82, scientists discovered the brightest pulsar yet known, designated M82 X-2.",https://en.wikipedia.org/wiki/Messier_82,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/M82_HST_ACS_2006-14-a-large_web.jpg/330px-M82_HST_ACS_2006-14-a-large_web.jpg,data/curated_space_objects/images/cigar_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/M82_HST_ACS_2006-14-a-large_web.jpg/330px-M82_HST_ACS_2006-14-a-large_web.jpg,,True,,Cigar Galaxy,"Messier 82 (also known as NGC 3034, Cigar Galaxy or M82) is a starburst galaxy approximately 12 million light-years away in the constellation Ursa Major. It is the second-largest member of the M81 Group, with the D25 isophotal diameter of 12.52 kiloparsecs (40,800 light-years). It is about five times more luminous than the Milky Way and its central region is about one hundred times more luminous. The starburst activity is thought to have been triggered by interaction with neighboring galaxy M81(NGC 3031). As one of the closest starburst galaxies to Earth, M82 is the prototypical example of this galaxy type. SN 2014J, a Type Ia supernova, was discovered in the galaxy on 21 January 2014. In 2014, in studying M82, scientists discovered the brightest pulsar yet known, designated M82 X-2.",https://en.wikipedia.org/wiki/Messier_82,Сигарная Галактика,"Мессье 82 (также известная как NGC 3034, Сигарная галактика или M82) — галактика со вспышкой звезд, расположенная примерно в 12 миллионах световых лет от нас в созвездии Большой Медведицы. Это второй по величине член группы M81 с диаметром изофоты D25 12,52 килопарсека (40 800 световых лет). Оно примерно в пять раз ярче Млечного Пути, а его центральная часть примерно в сто раз ярче. Считается, что звездообразование было вызвано взаимодействием с соседней галактикой M81 (NGC 3031). M82, одна из ближайших к Земле галактик со звездообразованием, является прототипом галактик этого типа. SN 2014J, сверхновая типа Ia, была обнаружена в галактике 21 января 2014 года. В 2014 году, изучая M82, ученые обнаружили самый яркий из известных пульсаров, получивший обозначение M82 X-2.",,galaxy,галактика
Sunflower Galaxy,Sunflower Galaxy,galaxy,"warm, textured, generous","galaxy,spiral,warm,textured,bright",,"Messier 63 or M63, also known as NGC 5055 or the seldom-used Sunflower Galaxy, is a spiral galaxy in the northern constellation of Canes Venatici with approximately 400 billion stars. M63 was first discovered by the French astronomer Pierre Méchain, then later verified by his colleague Charles Messier on 14 June 1779. The galaxy became listed as object 63 in the Messier Catalogue. In the mid-19th century, Anglo-Irish astronomer Lord Rosse identified spiral structures within the galaxy, making this one of the first galaxies in which such structure was identified.",https://en.wikipedia.org/wiki/Messier_63,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/M63_%28NGC_5055%29.jpg/330px-M63_%28NGC_5055%29.jpg,data/curated_space_objects/images/sunflower_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/M63_%28NGC_5055%29.jpg/330px-M63_%28NGC_5055%29.jpg,,True,,Sunflower Galaxy,"Messier 63 or M63, also known as NGC 5055 or the seldom-used Sunflower Galaxy, is a spiral galaxy in the northern constellation of Canes Venatici with approximately 400 billion stars. M63 was first discovered by the French astronomer Pierre Méchain, then later verified by his colleague Charles Messier on 14 June 1779. The galaxy became listed as object 63 in the Messier Catalogue. In the mid-19th century, Anglo-Irish astronomer Lord Rosse identified spiral structures within the galaxy, making this one of the first galaxies in which such structure was identified.",https://en.wikipedia.org/wiki/Messier_63,Подсолнух Галактика,"Мессье 63 или M63, также известная как NGC 5055 или редко используемая галактика Подсолнух, представляет собой спиральную галактику в северном созвездии Гончих Псов, содержащую примерно 400 миллиардов звезд. M63 была впервые обнаружена французским астрономом Пьером Мешеном, а затем подтверждена его коллегой Шарлем Мессье 14 июня 1779 года. Галактика была внесена в список объекта 63 в Каталоге Мессье. В середине 19 века англо-ирландский астроном Лорд Росс определил спиральные структуры внутри галактики, что сделало эту галактику одной из первых, в которой такая структура была обнаружена.",,galaxy,галактика
Black Eye Galaxy,Black Eye Galaxy,galaxy,"moody, dramatic, sharp","galaxy,dark,dramatic,mysterious,sharp",,"The Black Eye Galaxy is a relatively isolated spiral galaxy 17 million light-years away in the constellation of Coma Berenices. It was discovered by Edward Pigott in March 1779, and independently by Johann Elert Bode the following month, as well as by Charles Messier the next year. A dark band of absorbing dust partially in front of its bright nucleus gave rise to its nicknames of the ""Black Eye"", ""Evil Eye"", or ""Sleeping Beauty"" galaxy. M64 is well known among amateur astronomers due to its form in small telescopes and visibility across inhabited latitudes.",https://en.wikipedia.org/wiki/Black_Eye_Galaxy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/NGC_4826_-_HST.png/330px-NGC_4826_-_HST.png,data/curated_space_objects/images/black_eye_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/NGC_4826_-_HST.png/330px-NGC_4826_-_HST.png,,True,,Black Eye Galaxy,"The Black Eye Galaxy is a relatively isolated spiral galaxy 17 million light-years away in the constellation of Coma Berenices. It was discovered by Edward Pigott in March 1779, and independently by Johann Elert Bode the following month, as well as by Charles Messier the next year. A dark band of absorbing dust partially in front of its bright nucleus gave rise to its nicknames of the ""Black Eye"", ""Evil Eye"", or ""Sleeping Beauty"" galaxy. M64 is well known among amateur astronomers due to its form in small telescopes and visibility across inhabited latitudes.",https://en.wikipedia.org/wiki/Black_Eye_Galaxy,Галактика Чёрного Глаза,"Галактика Черный Глаз — относительно изолированная спиральная галактика, расположенная на расстоянии 17 миллионов световых лет в созвездии Комы Вероники. Он был открыт Эдвардом Пиготтом в марте 1779 года и независимо Иоганном Элертом Боде в следующем месяце, а также Шарлем Мессье в следующем году. Темная полоса поглощающей пыли частично перед ее ярким ядром дала ей прозвища «Черный глаз», «Сглаз» или «Спящая красавица». M64 хорошо известна среди астрономов-любителей благодаря своей форме в небольшие телескопы и видимости в обитаемых широтах.",,galaxy,галактика
Needle Galaxy,Needle Galaxy,galaxy,"thin, precise, distant","galaxy,edge-on,precise,elegant,dark",,"NGC 4565 is an edge-on spiral galaxy about 30 to 50 million light-years away in the constellation Coma Berenices. It lies close to the North Galactic Pole and has a visual magnitude of approximately 10. It is known as the Needle Galaxy for its narrow profile, and is a prominent example of an edge-on spiral galaxy. It was discovered by German-British astronomer William Herschel on 6 April 1785.",https://en.wikipedia.org/wiki/NGC_4565,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Needle_Galaxy_4565.jpeg/330px-Needle_Galaxy_4565.jpeg,data/curated_space_objects/images/needle_galaxy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Needle_Galaxy_4565.jpeg/330px-Needle_Galaxy_4565.jpeg,,True,,Needle Galaxy,"NGC 4565 is an edge-on spiral galaxy about 30 to 50 million light-years away in the constellation Coma Berenices. It lies close to the North Galactic Pole and has a visual magnitude of approximately 10. It is known as the Needle Galaxy for its narrow profile, and is a prominent example of an edge-on spiral galaxy. It was discovered by German-British astronomer William Herschel on 6 April 1785.",https://en.wikipedia.org/wiki/NGC_4565,Игольная галактика,"NGC 4565 — спиральная галактика, видимая с ребра, находящаяся на расстоянии от 30 до 50 миллионов световых лет в созвездии Вероники. Она расположена недалеко от Северного галактического полюса и имеет визуальную величину около 10. Она известна как Игольная галактика из-за своего узкого профиля и является ярким примером спиральной галактики, видимой с ребра. Он был открыт немецко-британским астрономом Уильямом Гершелем 6 апреля 1785 года.",,galaxy,галактика
