name,wiki_title,object_type,mood,tags,fallback_image_url
Andromeda Galaxy,Andromeda Galaxy,galaxy,"majestic, calm, magnetic","galaxy,spiral,bright,elegant,iconic",
Milky Way,Milky Way,galaxy,"familiar, dreamy, infinite","galaxy,spiral,home,bright,dreamy",
Sombrero Galaxy,Sombrero Galaxy,galaxy,"stylish, mysterious, elegant","galaxy,spiral,dark,elegant,iconic",
Whirlpool Galaxy,Whirlpool Galaxy,galaxy,"dramatic, social, spiral","galaxy,spiral,interaction,dramatic,bright",
Triangulum Galaxy,Triangulum Galaxy,galaxy,"soft, open, luminous","galaxy,spiral,soft,bright,calm",
Pinwheel Galaxy,Pinwheel Galaxy,galaxy,"playful, bright, structured","galaxy,spiral,bright,playful,structured",
Cigar Galaxy,Messier 82,galaxy,"restless, smoky, intense","galaxy,starburst,dramatic,intense,smoky",
Sunflower Galaxy,Sunflower Galaxy,galaxy,"warm, textured, generous","galaxy,spiral,warm,textured,bright",
Black Eye Galaxy,Black Eye Galaxy,galaxy,"moody, dramatic, sharp","galaxy,dark,dramatic,mysterious,sharp",
Needle Galaxy,Needle Galaxy,galaxy,"thin, precise, distant","galaxy,edge-on,precise,elegant,dark",
Sculptor Galaxy,Sculptor Galaxy,galaxy,"wide, active, glowing","galaxy,starburst,bright,active,warm",
Centaurus A,Centaurus A,galaxy,"dusty, powerful, strange","galaxy,dust,dark,powerful,radio",
Antennae Galaxies,Antennae Galaxies,galaxy,"chaotic, connected, explosive","galaxy,merger,chaotic,dramatic,interaction",
Tadpole Galaxy,Tadpole Galaxy,galaxy,"odd, playful, stretched","galaxy,peculiar,playful,rare,tail",
Hoag's Object,Hoag's Object,galaxy,"perfect, rare, detached","galaxy,ring,rare,elegant,mysterious",
Mice Galaxies,Mice Galaxies,galaxy,"mischievous, connected, wild","galaxy,merger,playful,chaotic,interaction",
Fireworks Galaxy,Fireworks Galaxy,galaxy,"sparkling, energetic, festive","galaxy,spiral,bright,energetic,supernova",
Southern Pinwheel Galaxy,Southern Pinwheel Galaxy,galaxy,"warm, open, expressive","galaxy,spiral,warm,bright,structured",
Orion Nebula,Orion Nebula,nebula,"creative, young, energetic","nebula,bright,warm,star-forming,iconic",
Crab Nebula,Crab Nebula,supernova remnant,"electric, intense, restless","supernova,bright,electric,chaotic,iconic",
Eagle Nebula,Eagle Nebula,nebula,"grand, iconic, powerful","nebula,star-forming,dramatic,iconic,bright",
Pillars of Creation,Pillars of Creation,nebula,"legendary, monumental, dramatic","nebula,pillars,dramatic,iconic,star-forming",
Horsehead Nebula,Horsehead Nebula,dark nebula,"dark, iconic, reserved","nebula,dark,mysterious,iconic,quiet",
Helix Nebula,Helix Nebula,planetary nebula,"watchful, mystical, soft","nebula,planetary,blue,soft,mystical",
Ring Nebula,Ring Nebula,planetary nebula,"precise, glowing, focused","nebula,planetary,ring,focused,bright",
Carina Nebula,Carina Nebula,nebula,"stormy, huge, radiant","nebula,bright,dramatic,star-forming,huge",
Tarantula Nebula,Tarantula Nebula,nebula,"wild, massive, explosive","nebula,star-forming,chaotic,huge,bright",
